"TITLE";"STATUS";"SLUG";"LONG DESCRIPTION";"TYPE";"ADDITIONALTYPES";"PRICE";"PRICERANGE";"INSTOCK";"SOLDCOUNT";"AVAILABLESINCE";"LASTCHECKEDAT";"IMAGE";"DISCOUNTS";"ARTICLENUMBERS";"ARTICLECATEGORY";"DIMENSIONS";"COLORS"
"Awesome Frozen Hat";"Published";"velit-totam-illum";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"Socks";"[""Pants""]";"200";"{""min"":160,""max"":240}";"true";"598";"Sun Apr 28 2024 19:55:13 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":52,""price"":234}]";"[null,null]";"Apparel";"{""width"":95.34,""height"":74.73,""depth"":90.17}";"[{""hex"":""#FF7F50"",""name"":""Coral""},{""hex"":""#FFA500"",""name"":""Orange""}]"
"Unbranded Concrete Bike";"Published";"hic-quia-iste";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"Cap";"[""Shirt""]";"358";"{""min"":286.40000000000003,""max"":429.59999999999997}";"false";"164";"Sat Mar 02 2024 10:38:31 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":95,""price"":848},{""quantity"":12,""price"":954},{""quantity"":89,""price"":112}]";"[null]";"Apparel";"{""width"":22.73,""height"":6.84,""depth"":25.13}";"[{""hex"":""#483D8B"",""name"":""DarkSlateBlue""},{""hex"":""#00CED1"",""name"":""DarkTurquoise""},{""hex"":""#F0FFFF"",""name"":""Azure""}]"
"Unbranded Frozen Cheese";"Published";"facilis-modi-sit";"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles";"Bag";"[]";"193";"{""min"":154.4,""max"":231.6}";"false";"174";"Fri Sep 20 2024 23:24:55 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":66,""price"":359},{""quantity"":72,""price"":973},{""quantity"":62,""price"":790}]";"[null]";"Accessories";"{""width"":53.91,""height"":37.79,""depth"":61.27}";"[{""hex"":""#FF8C00"",""name"":""DarkOrange""}]"
"Rustic Granite Fish";"Published";"veritatis-delectus-amet";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"Jacket";"[""Shoes""]";"569";"{""min"":455.20000000000005,""max"":682.8}";"false";"483";"Mon May 20 2024 23:35:58 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":71,""price"":310},{""quantity"":74,""price"":275}]";"[null]";"Apparel";"{""width"":84.25,""height"":65.84,""depth"":31.15}";"[{""hex"":""#800000"",""name"":""Maroon""},{""hex"":""#800000"",""name"":""Maroon""}]"
"Fantastic Cotton Bike";"Published";"sint-mollitia-culpa";"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality";"Mug";"[]";"471";"{""min"":376.8,""max"":565.1999999999999}";"true";"417";"Mon Jan 22 2024 23:58:12 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":13,""price"":484},{""quantity"":34,""price"":808}]";"[null]";"Office";"{""width"":76.6,""height"":39.09,""depth"":9.08}";"[{""hex"":""#800080"",""name"":""Purple""}]"
"Unbranded Granite Shoes";"Published";"et-rem-saepe";"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design";"Watch";"[""Sunglasses""]";"624";"{""min"":499.20000000000005,""max"":748.8}";"true";"677";"Thu Jul 25 2024 22:01:05 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":86,""price"":379},{""quantity"":13,""price"":461}]";"[null,null,null]";"Accessories";"{""width"":62.26,""height"":51.05,""depth"":95.4}";"[{""hex"":""#8A2BE2"",""name"":""BlueViolet""},{""hex"":""#000080"",""name"":""Navy""},{""hex"":""#FF0000"",""name"":""Red""},{""hex"":""#FF0000"",""name"":""Red""}]"
"Incredible Metal Tuna";"Published";"repellat-qui-eligendi";"The Football Is Good For Training And Recreational Purposes";"Pants";"[]";"987";"{""min"":789.6,""max"":1184.3999999999999}";"true";"23";"Sun Feb 18 2024 02:35:24 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":98,""price"":285},{""quantity"":15,""price"":5}]";"[null,null]";"Apparel";"{""width"":54.3,""height"":14.04,""depth"":43.4}";"[{""hex"":""#00FFFF"",""name"":""Cyan""},{""hex"":""#FF8C00"",""name"":""DarkOrange""}]"
"Refined Rubber Shirt";"Published";"aut-quia-molestiae";"The Football Is Good For Training And Recreational Purposes";"Pants";"[""Tie"",""Shirt""]";"164";"{""min"":131.20000000000002,""max"":196.79999999999998}";"false";"962";"Wed Nov 27 2024 00:22:40 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":72,""price"":772},{""quantity"":45,""price"":128}]";"[null,null]";"Apparel";"{""width"":90.2,""height"":40.63,""depth"":53.09}";"[{""hex"":""#D2691E"",""name"":""Chocolate""},{""hex"":""#FF8C00"",""name"":""DarkOrange""}]"
"Gorgeous Soft Chair";"Published";"consequuntur-consequatur-voluptas";"The Football Is Good For Training And Recreational Purposes";"Notebook";"[""Calendar"",""Pen""]";"357";"{""min"":285.6,""max"":428.4}";"true";"621";"Mon Dec 02 2024 03:38:55 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":79,""price"":719},{""quantity"":82,""price"":646},{""quantity"":44,""price"":323}]";"[null]";"Office";"{""width"":88.51,""height"":30.81,""depth"":45.78}";"[{""hex"":""#808000"",""name"":""Olive""},{""hex"":""#006400"",""name"":""DarkGreen""},{""hex"":""#BDB76B"",""name"":""DarkKhaki""},{""hex"":""#7FFF00"",""name"":""Chartreuse""}]"
"Intelligent Granite Sausages";"Deleted";"hic-sequi-earum";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"Mug";"[""Notebook""]";"867";"{""min"":693.6,""max"":1040.3999999999999}";"true";"854";"Wed Apr 10 2024 15:06:50 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":28,""price"":621},{""quantity"":24,""price"":435}]";"[null]";"Office";"{""width"":64.64,""height"":74.65,""depth"":26.81}";"[{""hex"":""#F0F8FF"",""name"":""AliceBlue""},{""hex"":""#8FBC8F"",""name"":""DarkSeaGreen""},{""hex"":""#000000"",""name"":""Black""}]"
"Gorgeous Cotton Shoes";"Published";"quidem-est-mollitia";"The Football Is Good For Training And Recreational Purposes";"Sunglasses";"[""Watch""]";"272";"{""min"":217.60000000000002,""max"":326.4}";"false";"844";"Sat Nov 09 2024 21:28:36 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":91,""price"":585},{""quantity"":83,""price"":961},{""quantity"":83,""price"":411}]";"[null,null,null]";"Accessories";"{""width"":35.63,""height"":6.97,""depth"":65.37}";"[{""hex"":""#000000"",""name"":""Black""},{""hex"":""#FFFFFF"",""name"":""White""},{""hex"":""#7FFFD4"",""name"":""Aquamarine""}]"
"Incredible Frozen Shoes";"Deleted";"fugit-mollitia-qui";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"Wallet";"[""Bag""]";"68";"{""min"":54.400000000000006,""max"":81.6}";"true";"624";"Fri May 10 2024 00:06:20 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":34,""price"":318}]";"[null,null,null]";"Accessories";"{""width"":65.39,""height"":29.68,""depth"":9.49}";"[{""hex"":""#FF00FF"",""name"":""Magenta""},{""hex"":""#F5F5DC"",""name"":""Beige""}]"
"Tasty Plastic Bacon";"Unpublished";"laudantium-inventore-facilis";"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive";"Bag";"[]";"631";"{""min"":504.8,""max"":757.1999999999999}";"true";"533";"Sat Jan 27 2024 10:29:08 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":98,""price"":722},{""quantity"":99,""price"":211}]";"[null]";"Accessories";"{""width"":39.02,""height"":6.15,""depth"":2.65}";"[{""hex"":""#0000FF"",""name"":""Blue""},{""hex"":""#8B0000"",""name"":""DarkRed""},{""hex"":""#F5F5DC"",""name"":""Beige""}]"
"Gorgeous Concrete Pizza";"Published";"similique-aut-numquam";"Carbonite web goalkeeper gloves are ergonomically designed to give easy fit";"Notebook";"[]";"367";"{""min"":293.6,""max"":440.4}";"true";"503";"Fri Jul 19 2024 02:09:03 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":66,""price"":653},{""quantity"":85,""price"":525}]";"[null,null]";"Office";"{""width"":73.71,""height"":58.6,""depth"":24.22}";"[{""hex"":""#00FFFF"",""name"":""Cyan""},{""hex"":""#00FF00"",""name"":""Lime""},{""hex"":""#FF7F50"",""name"":""Coral""},{""hex"":""#483D8B"",""name"":""DarkSlateBlue""}]"
"Handcrafted Plastic Computer";"Published";"a-eum-eius";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"Mug";"[]";"935";"{""min"":748,""max"":1122}";"true";"163";"Mon Jun 03 2024 01:46:28 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":46,""price"":75}]";"[null,null]";"Office";"{""width"":43.96,""height"":70.93,""depth"":60.6}";"[{""hex"":""#008000"",""name"":""Green""}]"
"Awesome Wooden Chair";"Published";"corrupti-aut-sed";"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart";"Pants";"[]";"361";"{""min"":288.8,""max"":433.2}";"true";"282";"Fri May 24 2024 03:26:34 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":9,""price"":729},{""quantity"":88,""price"":233}]";"[null]";"Apparel";"{""width"":71.54,""height"":21.89,""depth"":47.93}";"[{""hex"":""#6495ED"",""name"":""CornflowerBlue""},{""hex"":""#FAEBD7"",""name"":""AntiqueWhite""},{""hex"":""#8B0000"",""name"":""DarkRed""}]"
"Sleek Steel Pizza";"Published";"est-voluptas-dolorem";"Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support";"Tie";"[""Shoes"",""Pants""]";"635";"{""min"":508,""max"":762}";"false";"844";"Tue Jan 23 2024 11:20:18 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":47,""price"":12},{""quantity"":91,""price"":166},{""quantity"":13,""price"":615}]";"[null]";"Apparel";"{""width"":3.13,""height"":75.14,""depth"":79.97}";"[{""hex"":""#B8860B"",""name"":""DarkGoldenRod""},{""hex"":""#008000"",""name"":""Green""}]"
"Tasty Soft Pizza";"Unpublished";"modi-dolores-qui";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"Notebook";"[""Calendar""]";"661";"{""min"":528.8000000000001,""max"":793.1999999999999}";"true";"690";"Sun May 05 2024 17:57:02 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":90,""price"":257},{""quantity"":18,""price"":23}]";"[null]";"Office";"{""width"":43.25,""height"":33.47,""depth"":74.98}";"[{""hex"":""#D2691E"",""name"":""Chocolate""},{""hex"":""#00008B"",""name"":""DarkBlue""},{""hex"":""#6495ED"",""name"":""CornflowerBlue""}]"
"Generic Concrete Chair";"Published";"pariatur-ipsum-in";"The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients";"Sunglasses";"[]";"993";"{""min"":794.4000000000001,""max"":1191.6}";"true";"337";"Thu Jul 11 2024 17:12:01 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":32,""price"":794}]";"[null,null,null]";"Accessories";"{""width"":30.17,""height"":51.72,""depth"":99.27}";"[{""hex"":""#006400"",""name"":""DarkGreen""},{""hex"":""#5F9EA0"",""name"":""CadetBlue""}]"
"Handcrafted Metal Towels";"Published";"quia-voluptatibus-eligendi";"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016";"Bag";"[]";"604";"{""min"":483.20000000000005,""max"":724.8}";"false";"811";"Mon Feb 26 2024 07:23:53 GMT+0100 (Central European Standard Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":52,""price"":60},{""quantity"":51,""price"":150}]";"[null]";"Accessories";"{""width"":45.17,""height"":87.62,""depth"":86.26}";"[{""hex"":""#FF0000"",""name"":""Red""},{""hex"":""#7FFFD4"",""name"":""Aquamarine""},{""hex"":""#483D8B"",""name"":""DarkSlateBlue""},{""hex"":""#FFEBCD"",""name"":""BlanchedAlmond""}]"
"Awesome Plastic Gloves";"Published";"veritatis-quasi-aut";"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals";"Shoes";"[""Cap""]";"373";"{""min"":298.40000000000003,""max"":447.59999999999997}";"true";"156";"Thu Sep 05 2024 05:44:49 GMT+0200 (Central European Summer Time)";"Thu Jan 09 2025 11:10:45 GMT+0100 (Central European Standard Time)";"https://images.unsplash.com/photo-1601987078505-d93c4cc17b5e";"[{""quantity"":61,""price"":485},{""quantity"":81,""price"":436}]";"[null,null,null]";"Apparel";"{""width"":34.6,""height"":85.73,""depth"":25.14}";"[{""hex"":""#006400"",""name"":""DarkGreen""}]"
